# Mf af A2220 phi2220 logL logPrior
6.464437764125501928e+01 6.403601486394772113e-01 4.652212172450276739e+00 1.109627493266415410e+00 9.185446599920000881e+04 0.000000000000000000e+00
6.578208916209311496e+01 6.720683724927489777e-01 5.382300875380247263e+00 1.106057914246358687e+00 9.185451748464777484e+04 0.000000000000000000e+00
5.929889945847674682e+01 4.968371589769289276e-01 4.973766148867918346e+00 1.048388358221560956e+00 9.185453023901893175e+04 0.000000000000000000e+00
6.764048813567410434e+01 6.483546654718488345e-01 4.793252403348229329e+00 9.707812619366692486e-01 9.185453088280983502e+04 0.000000000000000000e+00
6.709274767453693755e+01 6.448234610275633827e-01 4.711552478599720040e+00 9.663487641963616204e-01 9.185454485444127931e+04 0.000000000000000000e+00
7.060854318024681220e+01 7.462962500056445903e-01 4.651099530586819242e+00 1.003257153896886189e+00 9.185456867345650971e+04 0.000000000000000000e+00
6.182877679231657453e+01 5.353690581457408726e-01 5.193553255612383346e+00 1.037646649185154146e+00 9.185457095478403789e+04 0.000000000000000000e+00
5.877171207587296209e+01 4.259462313548477153e-01 4.765180674494343904e+00 1.063287662117367915e+00 9.185457439325448649e+04 0.000000000000000000e+00
6.031443907167214036e+01 4.650302121030521763e-01 4.732591128865183627e+00 1.042397230771276995e+00 9.185463498845043068e+04 0.000000000000000000e+00
6.958933474903882654e+01 7.401077990306510479e-01 5.476221339556160750e+00 1.043908166204861487e+00 9.185466278636964853e+04 0.000000000000000000e+00
6.438782416378700191e+01 6.482908539884106869e-01 4.730516160083735322e+00 1.089662895003964405e+00 9.185468171629004064e+04 0.000000000000000000e+00
6.790418759277410743e+01 7.261672450428496850e-01 4.967307451552247066e+00 9.989623235738473994e-01 9.185468870676468941e+04 0.000000000000000000e+00
6.744981415587773199e+01 6.580060994386718320e-01 5.340288394085584756e+00 1.100139377836019117e+00 9.185471338436153019e+04 0.000000000000000000e+00
7.241144720632631504e+01 7.780802946546179211e-01 4.845527125144721836e+00 9.952926308707724656e-01 9.185471873672552465e+04 0.000000000000000000e+00
6.021488731543737316e+01 5.300848458809543917e-01 4.990474948331544702e+00 1.133571515428187793e+00 9.185472390931792324e+04 0.000000000000000000e+00
6.171434675636395895e+01 4.956373109369378582e-01 4.806705365530862473e+00 1.026959515436305370e+00 9.185474222040503810e+04 0.000000000000000000e+00
5.814918571145420145e+01 4.441347811792721312e-01 4.770447035317895157e+00 1.095629376822749190e+00 9.185476114789606072e+04 0.000000000000000000e+00
6.476306577247916607e+01 6.034176333011567195e-01 4.992140106319244097e+00 1.148228242008631161e+00 9.185478419455580297e+04 0.000000000000000000e+00
6.389292977130858020e+01 5.892705908755596633e-01 5.292997032392366741e+00 1.112448201196601261e+00 9.185479747588955797e+04 0.000000000000000000e+00
6.293236795901647440e+01 5.356132911981488220e-01 5.010116357779901719e+00 1.032650641491092980e+00 9.185484080031847407e+04 0.000000000000000000e+00
6.316386255459970300e+01 6.188879963152055241e-01 4.783599147552800801e+00 1.011954950445012935e+00 9.185484764025261393e+04 0.000000000000000000e+00
7.218975720700353804e+01 7.457347813850190299e-01 5.301076214240563189e+00 1.056882381610981803e+00 9.185485663890696014e+04 0.000000000000000000e+00
7.165516579588705781e+01 7.723409907699174681e-01 5.039755129833950242e+00 9.710222679300639648e-01 9.185489597020372457e+04 0.000000000000000000e+00
7.256030205384944054e+01 7.608912533191999339e-01 4.715861469181089838e+00 1.026108552855039990e+00 9.185491104897261539e+04 0.000000000000000000e+00
6.923918079754629673e+01 6.863966006918801321e-01 5.163535402994690493e+00 1.106347143379001530e+00 9.185491752572123369e+04 0.000000000000000000e+00
6.577102753800117796e+01 6.501111295594299566e-01 4.766435346786883187e+00 9.548335695496555919e-01 9.185493100698041962e+04 0.000000000000000000e+00
6.655315150668673141e+01 7.036752405039997660e-01 5.118624752737940042e+00 1.035367282606898254e+00 9.185501881919830339e+04 0.000000000000000000e+00
7.085421119251951438e+01 7.338880240503209418e-01 4.669311796708956130e+00 1.061372172345344200e+00 9.185504169071235810e+04 0.000000000000000000e+00
6.627733307675481456e+01 6.918326794036877558e-01 5.035651204555064098e+00 1.105152160006362516e+00 9.185508315567334648e+04 0.000000000000000000e+00
6.682401299065281819e+01 6.903988729451489004e-01 5.136693104663438092e+00 9.655462021386156390e-01 9.185508760711801006e+04 0.000000000000000000e+00
6.315389920071078222e+01 5.671001508846583716e-01 4.556651289824554141e+00 1.019977775698423406e+00 9.185509550548221159e+04 0.000000000000000000e+00
6.924201324685751047e+01 6.832110688078985028e-01 5.221452135507797188e+00 1.079308209039117950e+00 9.185511060140049085e+04 0.000000000000000000e+00
5.885040852833283509e+01 4.557044824829131757e-01 4.637242158831540451e+00 1.094444764262918701e+00 9.185511695737011905e+04 0.000000000000000000e+00
